OCC_CODE,OCC_TITLE,TOT_EMP_2016,perc_2016,TOT_EMP_2015,,TOT_EMP_2014,,TOT_EMP_2013,,TOT_EMP_2012,,A_MEAN_2016,A_MEAN_2015,A_MEAN_2014,A_MEAN_2013,A_MEAN_2012,A_MEDIAN_2016,A_MEDIAN_2015,A_MEDIAN_2014,A_MEDIAN_2013,A_MEDIAN_2012
Computer and mathematical occupations,"Software Developers, Applications","794,000",19.06,"747,730",,"686,470",,"643,830",,"586,340",,104300,102160,99530,96260,93280,"100,080","98,260","95,510","92,660","90,060"
Computer and mathematical occupations,"Software Developers, Systems Software","409,820",9.84,"390,750",,"382,400",,"373,510",,"391,700",,110590,108760,106050,104480,102550,"106,860","105,570","102,880","101,410","99,000"
Computer and mathematical occupations,Web Developers,"129,540",3.11,"127,070",,"121,020",,"112,820",,"102,940",,72150,70660,68670,67540,66100,"66,130","64,970","63,490","63,160","62,500"
Computer and mathematical occupations,Database Administrators,"113,730",2.73,"113,770",,"112,170",,"114,910",,"111,590",,87130,84250,82280,80740,79120,"84,950","81,710","80,280","78,520","77,080"
Computer and mathematical occupations,Network and Computer Systems Administrators,"376,820",9.05,"374,480",,"365,430",,"362,310",,"350,320",,84500,82200,79770,77910,76320,"79,700","77,810","75,790","74,000","72,560"
Computer and mathematical occupations,Computer Network Architects,"157,070",3.77,"146,600",,"140,080",,"141,270",,"137,890",,104240,103100,100710,97700,94000,"101,210","100,240","98,430","95,380","91,000"
Computer and mathematical occupations,Computer User Support Specialists,"602,840",14.47,"585,060",,"563,540",,"541,250",,"525,630",,53100,52430,51500,50450,50130,"49,390","48,620","47,610","46,620","46,420"
Computer and mathematical occupations,Computer Network Support Specialists,"188,740",4.53,"184,570",,"174,490",,"165,100",,"167,980",,67770,67260,66140,64160,62960,"62,670","62,250","61,830","60,180","59,090"
Computer and mathematical occupations,"Computer Occupations, All Other","261,210",6.27,"223,370",,"212,510",,"196,280",,"185,730",,88880,87310,85520,83240,81860,"86,510","85,240","83,410","82,340","81,140"
Computer and mathematical occupations,Actuaries,"19,940",0.48,"19,770",,"21,490",,"20,080",,"21,340",,114120,110560,110090,107740,106680,"100,610","97,070","96,700","94,340","93,680"
Computer and mathematical occupations,Mathematicians,"2,730",0.07,"3,170",,"3,130",,"3,030",,"3,250",,105600,112560,104350,103310,101280,"105,810","111,110","103,720","102,440","101,360"
Computer and mathematical occupations,Operations Research Analysts,"109,150",2.62,"95,860",,"86,950",,"72,680",,"69,180",,84340,84180,82940,81660,79830,"79,200","78,630","76,660","74,630","72,100"
Computer and mathematical occupations,Statisticians,"33,440",0.8,"29,870",,"26,970",,"24,950",,"25,570",,85160,84440,84010,83310,79570,"80,500","80,110","79,990","79,290","75,560"
Computer and mathematical occupations,Mathematical Technicians,510,0.01,820,,"1,060",,"1,080",,"1,150",,58490,53630,62280,60260,64220,"49,660","46,600","54,140","54,230","56,820"
Computer and mathematical occupations,"Mathematical Science Occupations, All Other","2,000",0.05,"1,880",,"1,600",,"1,240",,"1,220",,77550,78310,76740,69000,63250,"65,050","66,210","66,560","60,820","56,120"
Architecture and engineering occupations,"Architects, Except Landscape and Naval","99,860",4,"93,720",,"88,900",,"84,210",,"82,720",,84470,82850,80490,79650,78690,"76,930","76,100","74,520","74,110","73,090"
Architecture and engineering occupations,Landscape Architects,"19,420",0.78,"19,820",,"18,110",,"16,330",,"15,750",,68820,68600,69530,68570,68030,"63,480","63,810","64,570","64,790","64,180"
Architecture and engineering occupations,Cartographers and Photogrammetrists,"12,100",0.48,"11,970",,"11,610",,"11,290",,"11,490",,66160,65410,64570,62540,61640,"62,750","61,880","60,930","58,840","57,440"
Architecture and engineering occupations,Surveyors,"43,340",1.73,"43,140",,"41,970",,"41,360",,"40,190",,63480,61880,60310,59570,59180,"59,390","58,020","57,050","56,590","56,230"
Architecture and engineering occupations,Aerospace Engineers,"68,510",2.74,"66,980",,"69,080",,"71,500",,"80,420",,112010,110570,107700,105450,104810,"109,650","107,830","105,380","103,870","103,720"
Architecture and engineering occupations,Agricultural Engineers,"1,980",0.08,"2,330",,"2,450",,"2,590",,"2,470",,77330,78490,75440,78880,77370,"73,640","75,090","71,730","74,450","74,000"
Architecture and engineering occupations,Biomedical Engineers,"20,590",0.82,"20,890",,"20,080",,"19,890",,"18,810",,89970,91230,91760,93960,91200,"85,620","86,220","86,950","88,670","86,960"
Architecture and engineering occupations,Chemical Engineers,"31,990",1.28,"32,230",,"33,470",,"33,300",,"32,190",,105420,103960,103590,104340,102270,"98,340","97,360","96,940","95,730","94,350"
Architecture and engineering occupations,Civil Engineers,"287,800",11.52,"275,210",,"263,460",,"262,170",,"258,100",,89730,87940,87130,85640,84140,"83,540","82,220","82,050","80,770","79,340"
Architecture and engineering occupations,Computer Hardware Engineers,"72,950",2.92,"75,870",,"76,360",,"77,670",,"79,580",,118700,114970,110650,106930,103980,"115,080","111,730","108,430","104,250","100,920"
Architecture and engineering occupations,Electrical Engineers,"183,770",7.35,"178,580",,"174,550",,"168,100",,"160,560",,98620,97340,95780,93380,91810,"94,210","93,010","91,410","89,180","87,920"
Architecture and engineering occupations,"Electronics Engineers, Except Computer","132,100",5.29,"135,390",,"133,990",,"135,350",,"134,960",,103760,102390,99660,97870,95250,"99,210","98,270","95,790","94,250","91,820"
Architecture and engineering occupations,Environmental Engineers,"52,280",2.09,"52,600",,"53,240",,"53,020",,"50,850",,88530,88040,86340,85520,85140,"84,890","84,560","83,360","82,220","80,890"
Architecture and engineering occupations,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","25,410",1.02,"24,900",,"24,530",,"23,850",,"23,490",,90190,87810,84850,81320,79760,"86,720","84,600","81,830","78,820","76,830"
Architecture and engineering occupations,Industrial Engineers,"256,550",10.27,"247,570",,"236,990",,"230,580",,"220,130",,88530,86990,85110,83390,82100,"84,310","83,470","81,490","80,300","78,860"
Architecture and engineering occupations,Marine Engineers and Naval Architects,"8,120",0.32,"7,600",,"7,570",,"6,640",,"6,880",,99860,100090,99160,94040,96140,"93,350","93,110","92,930","89,550","88,100"
Architecture and engineering occupations,Materials Engineers,"26,800",1.07,"27,040",,"24,990",,"24,190",,"22,740",,97050,94690,91150,89930,87490,"93,310","91,310","87,690","87,330","85,150"
Architecture and engineering occupations,Mechanical Engineers,"285,790",11.44,"278,340",,"270,700",,"258,630",,"252,540",,89800,88190,87140,85930,84770,"84,190","83,590","83,060","82,100","80,580"
Architecture and engineering occupations,"Mining and Geological Engineers, Including Mining Safety Engineers","6,940",0.28,"8,000",,"8,200",,"7,990",,"7,640",,103010,107880,100970,96950,91250,"93,720","94,040","90,160","86,870","84,320"
Architecture and engineering occupations,Nuclear Engineers,"17,680",0.71,"16,880",,"16,520",,"16,400",,"19,930",,105950,106060,104630,106860,107140,"102,220","102,950","100,470","101,600","104,270"
Architecture and engineering occupations,Petroleum Engineers,"32,780",1.31,"34,600",,"33,740",,"34,910",,"36,410",,147030,149590,147520,149180,147470,"128,230","129,990","130,050","132,320","130,280"
Architecture and engineering occupations,"Engineers, All Other","123,390",4.94,"125,460",,"124,570",,"120,810",,"122,410",,99250,98150,96350,94310,93330,"97,300","95,900","94,240","92,680","92,030"
Architecture and engineering occupations,Architectural and Civil Drafters,"96,810",3.87,"95,280",,"91,520",,"88,860",,"83,410",,54290,53470,52480,51250,50550,"51,640","50,710","49,970","48,800","47,870"
Architecture and engineering occupations,Electrical and Electronics Drafters,"26,750",1.07,"29,200",,"29,390",,"29,600",,"28,160",,63390,62890,62040,60350,58490,"59,970","59,520","58,790","57,250","55,700"
Architecture and engineering occupations,Mechanical Drafters,"63,630",2.55,"65,250",,"64,070",,"63,180",,"63,220",,57480,56610,55260,54510,53270,"54,480","53,520","52,200","51,520","50,360"
Architecture and engineering occupations,"Drafters, All Other","15,530",0.62,"15,470",,"14,270",,"14,820",,"14,780",,54410,53660,53450,50930,49050,"50,470","49,650","49,990","47,680","46,110"
Architecture and engineering occupations,Aerospace Engineering and Operations Technicians,"11,970",0.48,"12,890",,"11,230",,"10,540",,"9,750",,71070,68620,64310,62540,61980,"68,020","66,180","63,780","62,680","61,530"
Architecture and engineering occupations,Civil Engineering Technicians,"72,150",2.89,"71,440",,"71,300",,"69,830",,"70,790",,52120,51330,50290,49380,49220,"49,980","49,260","48,340","47,780","47,560"
Architecture and engineering occupations,Electrical and Electronics Engineering Technicians,"134,870",5.4,"139,080",,"137,040",,"141,150",,"144,460",,62950,61870,60330,58770,58070,"62,190","61,130","59,820","58,540","57,850"
Architecture and engineering occupations,Electro-Mechanical Technicians,"13,710",0.55,"14,720",,"14,430",,"15,540",,"16,990",,57860,56320,55600,54160,53480,"55,610","53,340","53,070","51,330","51,820"
Architecture and engineering occupations,Environmental Engineering Technicians,"16,550",0.66,"17,360",,"18,080",,"18,020",,"18,590",,52500,51170,51030,49180,49380,"49,170","48,650","48,170","46,160","45,350"
Architecture and engineering occupations,Industrial Engineering Technicians,"63,220",2.53,"62,290",,"65,680",,"68,520",,"67,400",,56920,56320,55660,54170,53100,"53,330","53,780","53,370","52,020","50,980"
Architecture and engineering occupations,Mechanical Engineering Technicians,"45,510",1.82,"48,910",,"47,560",,"46,090",,"46,630",,57180,56390,55470,54280,53830,"54,480","53,910","53,530","52,390","51,980"
Architecture and engineering occupations,"Engineering Technicians, Except Drafters, All Other","74,290",2.97,"70,750",,"67,640",,"65,960",,"65,090",,64050,62820,63140,61940,60830,"62,330","61,260","61,580","60,560","59,440"
Architecture and engineering occupations,Surveying and Mapping Technicians,"53,920",2.16,"53,620",,"50,750",,"47,950",,"47,000",,45490,44800,43870,43540,42680,"42,450","42,010","40,770","40,670","39,670"
Life physical and social science occupations,Animal Scientists,"2,470",0.21,"2,430",,"2,350",,"2,320",,"2,120",,72890,71830,72590,72930,73400,"60,330","60,390","61,110","64,260","61,680"
Life physical and social science occupations,Food Scientists and Technologists,"14,200",1.23,"14,660",,"14,170",,"15,010",,"13,680",,71270,72030,66870,65340,64140,"63,950","65,840","61,480","59,630","58,070"
Life physical and social science occupations,Soil and Plant Scientists,"14,690",1.27,"14,610",,"15,150",,"13,160",,"12,410",,69290,65980,64680,62830,63290,"62,300","60,050","59,920","58,990","58,740"
Life physical and social science occupations,Biochemists and Biophysicists,"29,200",2.53,"30,800",,"31,350",,"29,110",,"26,410",,94340,93390,91960,91640,89470,"82,180","82,150","84,940","84,320","81,480"
Life physical and social science occupations,Microbiologists,"21,670",1.88,"21,210",,"20,670",,"19,880",,"18,550",,76850,76230,76530,75230,73250,"66,850","67,550","67,790","67,840","66,260"
Life physical and social science occupations,Zoologists and Wildlife Biologists,"17,720",1.54,"17,910",,"18,970",,"18,530",,"18,650",,64890,64230,63230,62610,62500,"60,520","59,680","58,270","57,430","57,710"
Life physical and social science occupations,"Biological Scientists, All Other","35,110",3.05,"32,050",,"32,230",,"33,100",,"31,080",,77830,77190,77920,75160,76220,"74,790","75,150","74,720","72,720","72,700"
Life physical and social science occupations,Conservation Scientists,"20,470",1.78,"20,200",,"19,210",,"18,590",,"18,460",,65130,63800,64420,63330,63590,"61,810","61,110","61,860","61,220","61,100"
Life physical and social science occupations,Foresters,"8,420",0.73,"8,590",,"9,140",,"9,220",,"9,470",,60300,60650,60070,59000,57140,"58,700","58,230","57,980","57,110","55,950"
Life physical and social science occupations,Epidemiologists,"5,690",0.49,"5,460",,"5,420",,"5,350",,"4,850",,77720,76900,74120,73040,71400,"70,820","69,450","67,420","66,330","65,270"
Life physical and social science occupations,"Medical Scientists, Except Epidemiologists","108,870",9.44,"104,440",,"100,740",,"104,280",,"95,420",,95000,93730,90160,90230,87830,"80,530","82,240","79,930","79,840","76,980"
Life physical and social science occupations,"Life Scientists, All Other","7,890",0.68,"9,070",,"9,400",,"8,550",,"8,940",,83150,79870,79270,76900,74740,"73,860","70,550","69,100","66,930","65,330"
Life physical and social science occupations,Astronomers,"1,830",0.16,"1,760",,"1,660",,"1,750",,"2,150",,110380,110220,107140,110440,102550,"104,740","104,100","105,410","110,450","96,460"
Life physical and social science occupations,Physicists,"16,680",1.45,"15,650",,"16,790",,"17,340",,"17,820",,121770,118500,117300,117040,114150,"115,870","111,580","109,600","110,110","106,840"
Life physical and social science occupations,Atmospheric and Space Scientists,"9,800",0.85,"10,370",,"10,850",,"10,800",,"10,190",,94840,90210,88090,88140,90010,"92,460","89,820","87,980","87,030","89,260"
Life physical and social science occupations,Chemists,"86,660",7.52,"84,720",,"85,970",,"87,560",,"84,950",,80820,77860,79140,77740,76870,"73,740","71,260","73,480","72,350","71,770"
Life physical and social science occupations,Materials Scientists,"7,750",0.67,"6,790",,"6,900",,"7,400",,"7,970",,101570,94940,94350,91160,89740,"99,430","91,000","91,980","88,660","88,990"
Life physical and social science occupations,"Environmental Scientists and Specialists, Including Health","84,250",7.31,"87,250",,"88,740",,"87,380",,"84,240",,75360,73930,72050,70770,68970,"68,910","67,460","66,250","65,090","63,570"
Life physical and social science occupations,"Geoscientists, Except Hydrologists and Geographers","30,420",2.64,"31,800",,"34,000",,"34,690",,"35,180",,106390,105720,105390,108420,106780,"89,780","89,700","89,910","91,920","90,890"
Life physical and social science occupations,Hydrologists,"6,300",0.55,"6,580",,"6,580",,"6,540",,"6,880",,83740,83440,81930,79260,78920,"80,480","79,550","78,370","75,710","75,530"
Life physical and social science occupations,"Physical Scientists, All Other","18,960",1.64,"21,130",,"23,030",,"23,290",,"25,230",,98460,98240,95670,94950,93720,"96,070","97,130","94,030","93,230","91,640"
Life physical and social science occupations,Economists,"19,380",1.68,"19,090",,"18,680",,"17,230",,"15,760",,112860,109230,105290,101450,99480,"101,050","99,180","95,710","93,070","91,860"
Life physical and social science occupations,Survey Researchers,"11,930",1.03,"13,650",,"15,410",,"17,370",,"17,370",,59950,59340,54730,53210,50890,"54,470","53,920","49,760","47,720","45,050"
