title,code,Less than high school diploma,High school or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree,A_MEAN_2016
"Total, all occupations","Total, all occupations",8.6,23.9,21,9.4,22.8,9.9,4.2,
Chief executives,Management occupations,1.5,9,14.7,5.4,39.8,22.3,7.4,194350
General and operations managers,Management occupations,2.6,17.1,25.4,9.4,33,11.1,1.5,122090
Legislators,Management occupations,1.5,9,14.7,5.4,39.8,22.3,7.4,44820
Advertising and promotions managers,Management occupations,0.7,5,11.1,4.4,62.7,13.3,2.8,117810
Marketing managers,Management occupations,0.9,7.4,15.7,6.5,50.5,17.4,1.6,144140
Sales managers,Management occupations,0.9,7.4,15.7,6.5,50.5,17.4,1.6,135090
Public relations and fundraising managers,Management occupations,0.2,1.5,7.6,2.8,58.5,25.5,3.8,123360
Administrative services managers,Management occupations,2.1,17.9,26.1,12.1,29.7,10.3,1.7,98930
Computer and information systems managers,Management occupations,0.4,4,14,7.7,46.1,25.2,2.6,145740
Financial managers,Management occupations,1.1,10,17.6,7.9,41.2,19.7,2.5,139720
Industrial production managers,Management occupations,4.7,21.6,21.2,8.5,31,11.9,1.1,107060
Purchasing managers,Management occupations,0.8,10.8,19.2,7.7,39.9,18.5,3.1,117720
"Transportation, storage, and distribution managers",Management occupations,5.4,28.7,28.3,8.4,22.5,6.3,0.4,97630
Compensation and benefits managers,Management occupations,0.2,7.4,13.7,8.4,47.2,22.8,0.4,126900
Human resources managers,Management occupations,2.5,11.3,18.4,8.3,36.9,19.8,2.9,120210
Training and development managers,Management occupations,0.5,6.1,15.9,10.4,39.8,23,4.3,115180
"Farmers, ranchers, and other agricultural managers",Management occupations,11.6,35.1,19.6,9.5,20.1,3,1.1,75790
Construction managers,Management occupations,6.9,25.3,24.5,8.4,28.2,5.8,0.8,99510
"Education administrators, preschool and childcare center/program",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,52150
"Education administrators, elementary and secondary school",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,95390
"Education administrators, postsecondary",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,105770
"Education administrators, all other",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,84400
Architectural and engineering managers,Management occupations,0.8,3.5,6.9,4.2,45.1,33.8,5.8,143870
Food service managers,Management occupations,8.9,28.3,27.4,9.7,21.4,3.7,0.6,56010
Funeral service managers,Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,88970
Gaming managers,Management occupations,4.7,24,33.5,11.6,19,6.6,0.7,79690
Lodging managers,Management occupations,3,16.9,26.3,10.6,33.6,8,1.5,59410
Medical and health services managers,Management occupations,1.3,8,15.9,11.9,30.6,24.3,8.1,109370
Natural sciences managers,Management occupations,0.9,1.2,3.4,3,33.2,34.7,23.7,136150
Postmasters and mail superintendents,Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,71980
"Property, real estate, and community association managers",Management occupations,4.4,18.4,25.8,9,31,9.3,2.2,70290
Social and community service managers,Management occupations,0.9,7.3,13.9,5.5,38.3,28.6,5.5,70870
Emergency management directors,Management occupations,0,3.6,22.3,10.8,40,22.4,0.9,78060
"Managers, all other",Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,112150
"Agents and business managers of artists, performers, and athletes",Business and financial operations occupations,2.1,11.1,23.1,5.4,43.1,10.1,5.1,86560
"Buyers and purchasing agents, farm products",Business and financial operations occupations,10.4,32.6,18.1,6.8,27.3,2.8,2.1,63910
"Wholesale and retail buyers, except farm products",Business and financial operations occupations,4.4,24.2,25.3,9.3,31.7,4.1,0.9,60040
"Purchasing agents, except wholesale, retail, and farm products",Business and financial operations occupations,1.6,16.8,24.6,10.8,36.2,8.9,1.1,67420
"Claims adjusters, examiners, and investigators",Business and financial operations occupations,1.1,14.8,23.8,10.6,40.2,7.3,2.2,64990
"Insurance appraisers, auto damage",Business and financial operations occupations,1.1,14.8,23.8,10.6,40.2,7.3,2.2,65930
Compliance officers,Business and financial operations occupations,1.1,7.9,18.1,8.4,40.4,17.1,7,70250
Cost estimators,Business and financial operations occupations,2.7,23.1,27.7,11.6,29.9,4.4,0.6,66620
Human resources specialists,Business and financial operations occupations,1.6,9.8,18.5,8.5,43.5,16,2.1,64890
Farm labor contractors,Business and financial operations occupations,1.6,9.8,18.5,8.5,43.5,16,2.1,47290
Labor relations specialists,Business and financial operations occupations,1.6,9.8,18.5,8.5,43.5,16,2.1,64250
Logisticians,Business and financial operations occupations,1.8,14.5,26.6,12.8,33.1,10.4,0.8,77810
Management analysts,Business and financial operations occupations,0.7,4.8,11.5,4.7,42.3,28.7,7.3,91910
"Meeting, convention, and event planners",Business and financial operations occupations,1.9,10.3,18,6.9,49.4,12.1,1.3,52020
Fundraisers,Business and financial operations occupations,0.8,3.4,6.8,2.6,55.5,26.4,4.6,57930
"Compensation, benefits, and job analysis specialists",Business and financial operations occupations,0.8,10.5,22.1,10.7,40.8,14.1,1.1,66490
Training and development specialists,Business and financial operations occupations,1.9,11.4,21.6,10.1,35,18.2,1.9,63350
Market research analysts and marketing specialists,Business and financial operations occupations,0.7,3.8,9.4,5.3,54.3,23.4,3.1,70620
"Business operations specialists, all other",Business and financial operations occupations,1.5,9.2,15.9,7.6,41.1,20.1,4.6,74870
Accountants and auditors,Business and financial operations occupations,0,4,7.6,9.2,55.6,20.8,2.8,76730
Appraisers and assessors of real estate,Business and financial operations occupations,0.7,11.2,24.8,9.6,42.8,9,2,58030
Budget analysts,Business and financial operations occupations,0.4,6.4,13,7,42.6,26.4,4.2,77170
Credit analysts,Business and financial operations occupations,0.4,8.6,21.1,7.9,45.1,15.9,0.9,81160
Financial analysts,Business and financial operations occupations,0.5,2.6,6,3.5,50.8,33.2,3.4,97640
Personal financial advisors,Business and financial operations occupations,0.3,3.9,10.7,5,51.8,22.8,5.6,123100
Insurance underwriters,Business and financial operations occupations,0.6,13.3,19.3,8.7,46.5,9.1,2.5,75480
Financial examiners,Business and financial operations occupations,0,4.9,6.4,6.7,58.8,21.4,1.8,88940
Credit counselors,Business and financial operations occupations,1.1,14.3,24.4,9.7,40.1,9,1.3,49480
Loan officers,Business and financial operations occupations,1.1,14.3,24.4,9.7,40.1,9,1.3,76260
"Tax examiners and collectors, and revenue agents",Business and financial operations occupations,1.5,16.1,25,9.2,36.5,11.2,0.6,57950
Tax preparers,Business and financial operations occupations,1.3,11.6,21,10,35.2,15.4,5.5,45340
"Financial specialists, all other",Business and financial operations occupations,1.9,11.8,17.4,8.4,38.3,19.5,2.7,76230
Computer and information research scientists,Computer and mathematical occupations,0.4,4.9,2.5,0.3,34.8,33,24,116320
Computer systems analysts,Computer and mathematical occupations,0.5,4.6,13.4,7.8,47.4,23.4,2.9,91620
Information security analysts,Computer and mathematical occupations,0.7,4.5,16.8,10.4,42.9,22.4,2.3,96040
Computer programmers,Computer and mathematical occupations,0.6,4.6,12.9,8.7,50.9,19.7,2.8,85180
"Software developers, applications",Computer and mathematical occupations,0.4,2.1,8.2,4.8,50.3,30.3,3.9,104300
"Software developers, systems software",Computer and mathematical occupations,0.4,2.1,8.2,4.8,50.3,30.3,3.9,110590
Web developers,Computer and mathematical occupations,0.6,4.8,15.5,9.7,54,13.8,1.6,72150
Database administrators,Computer and mathematical occupations,0.7,5.7,12.5,8.8,45.1,24.2,3,87130
Network and computer systems administrators,Computer and mathematical occupations,0.4,7.2,23.3,15.1,40.7,12,1.2,84500
Computer network architects,Computer and mathematical occupations,0.5,5.8,22.3,12.7,40,16.9,1.8,104240
Computer user support specialists,Computer and mathematical occupations,0.6,8.9,25.3,16,37.4,10.5,1.2,53100
Computer network support specialists,Computer and mathematical occupations,0.6,8.9,25.3,16,37.4,10.5,1.2,67770
"Computer occupations, all other",Computer and mathematical occupations,0.8,7.5,20.6,14.7,39.2,15.7,1.4,88880
Actuaries,Computer and mathematical occupations,0,0,1.2,1.5,62.1,24.9,10.3,114120
Mathematicians,Computer and mathematical occupations,0,0,4.1,2.3,30.2,40.6,22.8,105600
Operations research analysts,Computer and mathematical occupations,0.4,5.8,13.3,6.2,41.1,28.4,4.7,84340
Statisticians,Computer and mathematical occupations,0,0,4.1,2.3,30.2,40.6,22.8,85160
Mathematical technicians,Computer and mathematical occupations,0,0,4.1,2.3,30.2,40.6,22.8,58490
"Mathematical science occupations, all other",Computer and mathematical occupations,0,0,4.1,2.3,30.2,40.6,22.8,77550
"Architects, except landscape and naval",Architecture and engineering occupations,0.2,1.5,4.1,2.8,48.8,35.2,7.4,84470
Landscape architects,Architecture and engineering occupations,0.2,1.5,4.1,2.8,48.8,35.2,7.4,68820
Cartographers and photogrammetrists,Architecture and engineering occupations,0.9,4.3,8.9,6.3,65.8,11,2.8,66160
Surveyors,Architecture and engineering occupations,0.9,4.3,8.9,6.3,65.8,11,2.8,63480
Aerospace engineers,Architecture and engineering occupations,0.7,1.8,6.7,4.6,49.1,31.9,5.3,112010
Agricultural engineers,Architecture and engineering occupations,0,2.6,3.6,16.3,43.7,25.8,8.1,77330
Biomedical engineers,Architecture and engineering occupations,0,2.6,3.6,16.3,43.7,25.8,8.1,89970
Chemical engineers,Architecture and engineering occupations,0.1,2.4,3.5,3.5,56.6,25.2,8.7,105420
Civil engineers,Architecture and engineering occupations,0.5,3.3,5.7,5.1,55.2,26.1,4,89730
Computer hardware engineers,Architecture and engineering occupations,0.2,4.9,11.5,7.4,47.4,24,4.7,118700
Electrical engineers,Architecture and engineering occupations,0.7,3.2,8.5,8.1,49.3,24.1,6.1,98620
"Electronics engineers, except computer",Architecture and engineering occupations,0.7,3.2,8.5,8.1,49.3,24.1,6.1,103760
Environmental engineers,Architecture and engineering occupations,0.2,4.5,4.6,3.5,47.2,34.4,5.5,88530
"Health and safety engineers, except mining safety engineers and inspectors",Architecture and engineering occupations,0.7,7,12.5,8.6,50.8,18.4,2.1,90190
Industrial engineers,Architecture and engineering occupations,0.7,7,12.5,8.6,50.8,18.4,2.1,88530
Marine engineers and naval architects,Architecture and engineering occupations,2.1,6.2,7.7,8.9,53.1,20.2,1.8,99860
Materials engineers,Architecture and engineering occupations,0.6,5.9,12,8.5,45,20.9,7.1,97050
Mechanical engineers,Architecture and engineering occupations,0.8,3.8,9.1,9.8,51.9,21.1,3.5,89800
"Mining and geological engineers, including mining safety engineers",Architecture and engineering occupations,0.3,5.2,7.6,2.9,54.8,24.5,4.6,103010
Nuclear engineers,Architecture and engineering occupations,0.4,2.9,7.8,6.9,47.9,26.9,7.2,105950
Petroleum engineers,Architecture and engineering occupations,0.3,5.2,7.6,2.9,54.8,24.5,4.6,147030
"Engineers, all other",Architecture and engineering occupations,0.4,2.9,7.8,6.9,47.9,26.9,7.2,99250
Architectural and civil drafters,Architecture and engineering occupations,0.8,11.1,28,32.8,22.8,3.9,0.6,54290
Electrical and electronics drafters,Architecture and engineering occupations,0.8,11.1,28,32.8,22.8,3.9,0.6,63390
Mechanical drafters,Architecture and engineering occupations,0.8,11.1,28,32.8,22.8,3.9,0.6,57480
"Drafters, all other",Architecture and engineering occupations,0.8,11.1,28,32.8,22.8,3.9,0.6,54410
Aerospace engineering and operations technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,71070
Civil engineering technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,52120
Electrical and electronics engineering technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,62950
Electro-mechanical technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,57860
Environmental engineering technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,52500
Industrial engineering technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,56920
Mechanical engineering technicians,Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,57180
"Engineering technicians, except drafters, all other",Architecture and engineering occupations,3.5,22.4,31,22.6,17.1,2.9,0.6,64050
Surveying and mapping technicians,Architecture and engineering occupations,5.9,28.8,38.1,20.9,5.3,0.8,0.3,45490
Animal scientists,Life physical and social science occupations,0,0,0,0,53.5,30,16.5,72890
Food scientists and technologists,Life physical and social science occupations,0,0,0,0,53.5,30,16.5,71270
Soil and plant scientists,Life physical and social science occupations,0,0,0,0,53.5,30,16.5,69290
Biochemists and biophysicists,Life physical and social science occupations,0,0,0,0,47.5,31.4,21,94340
Microbiologists,Life physical and social science occupations,0,0,0,0,47.5,31.4,21,76850
Zoologists and wildlife biologists,Life physical and social science occupations,0,0,0,0,47.5,31.4,21,64890
"Biological scientists, all other",Life physical and social science occupations,0,0,0,0,47.5,31.4,21,77830
Conservation scientists,Life physical and social science occupations,0,0,0,0,76.5,18.8,4.7,65130
Foresters,Life physical and social science occupations,0,0,0,0,76.5,18.8,4.7,60300
Epidemiologists,Life physical and social science occupations,0.3,0.6,0.3,0.6,21.7,23.1,53.5,77720
"Medical scientists, except epidemiologists",Life physical and social science occupations,0.3,0.6,0.3,0.6,21.7,23.1,53.5,95000
"Life scientists, all other",Life physical and social science occupations,0.3,0.6,0.3,0.6,21.7,23.1,53.5,83150
Astronomers,Life physical and social science occupations,0,0,0,0,18.1,27.7,54.1,110380
Physicists,Life physical and social science occupations,0,0,0,0,18.1,27.7,54.1,121770
Atmospheric and space scientists,Life physical and social science occupations,0,1.9,4.4,2.7,45,27.5,18.5,94840
Chemists,Life physical and social science occupations,0.5,2,2.7,1.2,53,21.7,18.8,80820
Materials scientists,Life physical and social science occupations,0.5,2,2.7,1.2,53,21.7,18.8,101570
"Environmental scientists and specialists, including health",Life physical and social science occupations,0,0,0,0,52.4,36.3,11.3,75360
"Geoscientists, except hydrologists and geographers",Life physical and social science occupations,0,0,0,0,52.4,36.3,11.3,106390
Hydrologists,Life physical and social science occupations,0,0,0,0,52.4,36.3,11.3,83740
"Physical scientists, all other",Life physical and social science occupations,0,0,0,0,27.1,23.3,49.6,98460
Economists,Life physical and social science occupations,0,0,0,0,23.2,44.8,32,112860
Survey researchers,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,59950
"Clinical, counseling, and school psychologists",Life physical and social science occupations,0,0,0,0,6.8,42.7,50.5,78690
Industrial-organizational psychologists,Life physical and social science occupations,0,0,0,0,6.8,42.7,50.5,104570
"Psychologists, all other",Life physical and social science occupations,0,0,0,0,6.8,42.7,50.5,94650
Sociologists,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,86840
Urban and regional planners,Life physical and social science occupations,1.4,1,6.4,1.5,36.8,48.2,4.7,73060
Anthropologists and archeologists,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,66440
Geographers,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,74090
Historians,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,60990
Political scientists,Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,112250
"Social scientists and related workers, all other",Life physical and social science occupations,0,3,5.5,2.4,35.6,38.7,14.9,80860
Agricultural and food science technicians,Life physical and social science occupations,8.3,22.3,25,13.7,24.8,4.1,1.8,40470
Biological technicians,Life physical and social science occupations,5.7,14.1,18.9,16.4,31.1,8.7,5.1,46130
Chemical technicians,Life physical and social science occupations,2.9,22.1,25.8,14.7,25.6,5.2,3.7,49770
Geological and petroleum technicians,Life physical and social science occupations,3.4,22.4,21.9,16.8,26,6.4,3,62240
Nuclear technicians,Life physical and social science occupations,3.4,22.4,21.9,16.8,26,6.4,3,77820
Social science research assistants,Life physical and social science occupations,3.2,15,21,13.5,32.3,11.5,3.5,46820
"Environmental science and protection technicians, including health",Life physical and social science occupations,3.2,15,21,13.5,32.3,11.5,3.5,47930
Forensic science technicians,Life physical and social science occupations,3.2,15,21,13.5,32.3,11.5,3.5,60690
Forest and conservation technicians,Life physical and social science occupations,3.2,15,21,13.5,32.3,11.5,3.5,38630
"Life, physical, and social science technicians, all other",Life physical and social science occupations,3.2,15,21,13.5,32.3,11.5,3.5,49270
Substance abuse and behavioral disorder counselors,Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,44160
"Educational, guidance, school, and vocational counselors",Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,57620
Marriage and family therapists,Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,54090
Mental health counselors,Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,46050
Rehabilitation counselors,Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,38740
"Counselors, all other",Community and social service occupations,1.1,5.1,8.3,5,25.1,50.4,5,47640
"Child, family, and school social workers",Community and social service occupations,1.1,5.8,9.4,6,40.8,35.1,1.8,47510
Healthcare social workers,Community and social service occupations,1.1,5.8,9.4,6,40.8,35.1,1.8,55510
Mental health and substance abuse social workers,Community and social service occupations,1.1,5.8,9.4,6,40.8,35.1,1.8,47880
"Social workers, all other",Community and social service occupations,1.1,5.8,9.4,6,40.8,35.1,1.8,59410
Health educators,Community and social service occupations,2.9,12.7,20.9,7.9,33.3,19.6,2.7,57900
Probation officers and correctional treatment specialists,Community and social service occupations,0.7,5.7,11.7,5,57.6,18.1,1.1,55380
Social and human service assistants,Community and social service occupations,2.6,15.3,25,10.6,31.8,13,1.7,34120
Community health workers,Community and social service occupations,2.9,12.7,20.9,7.9,33.3,19.6,2.7,41170
"Community and social service specialists, all other",Community and social service occupations,2.9,12.7,20.9,7.9,33.3,19.6,2.7,45540
Clergy,Community and social service occupations,2.7,6.6,11.3,4.3,25.3,35.1,14.7,49450
"Directors, religious activities and education",Community and social service occupations,1,9.7,15.4,6.5,36.2,25.6,5.7,44840
"Religious workers, all other",Community and social service occupations,1.9,11.3,19.7,7.4,34.7,19.4,5.6,34300
Lawyers,Legal occupations,0.2,0.4,0.6,0.5,5,4.4,88.9,139880
Judicial law clerks,Legal occupations,0.1,0.5,5.1,3,13.7,2.2,75.4,59840
"Administrative law judges, adjudicators, and hearing officers",Legal occupations,0.2,0.4,0.6,0.5,5,4.4,88.9,95240
"Arbitrators, mediators, and conciliators",Legal occupations,0.2,0.4,0.6,0.5,5,4.4,88.9,72730
"Judges, magistrate judges, and magistrates",Legal occupations,0.2,0.4,0.6,0.5,5,4.4,88.9,115460
Paralegals and legal assistants,Legal occupations,1,10.6,24.1,20,34.9,6.2,3.2,53180
Court reporters,Legal occupations,1.6,16.9,25.9,13.5,29.5,7.8,4.8,56940
"Title examiners, abstractors, and searchers",Legal occupations,1.6,16.9,25.9,13.5,29.5,7.8,4.8,51490
"Legal support workers, all other",Legal occupations,1.6,16.9,25.9,13.5,29.5,7.8,4.8,66170
"Business teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,96770
"Computer science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,89670
"Mathematical science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,82650
"Architecture teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,92890
"Engineering teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,107490
"Agricultural sciences teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,96630
"Biological science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,90420
"Forestry and conservation science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,90480
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,95900
"Chemistry teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,89320
"Environmental science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,88880
"Physics teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,97520
"Anthropology and archeology teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,91940
"Area, ethnic, and cultural studies teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,84590
"Economics teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,111520
"Geography teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,84660
"Political science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,94090
"Psychology teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,84440
"Sociology teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,81600
"Social sciences teachers, postsecondary, all other",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,85950
"Health specialties teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,125430
"Nursing instructors and teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,75030
"Education teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,70260
"Library science teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,72340
"Criminal justice and law enforcement teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,67040
"Law teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,134530
"Social work teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,74280
"Art, drama, and music teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,81050
"Communications teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,74360
"English language and literature teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,76140
"Foreign language and literature teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,73750
"History teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,80880
"Philosophy and religion teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,77420
Graduate teaching assistants,Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,35810
"Home economics teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,72790
"Recreation and fitness studies teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,67870
"Vocational education teachers, postsecondary",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,55730
"Postsecondary teachers, all other",Education training and library occupations,0.5,1.3,2.5,2.2,16.6,33.2,43.8,73990
"Preschool teachers, except special education",Education training and library occupations,1.7,12.4,23.1,15.7,33.8,12.4,0.9,33300
"Kindergarten teachers, except special education",Education training and library occupations,1.7,12.4,23.1,15.7,33.8,12.4,0.9,55460
"Elementary school teachers, except special education",Education training and library occupations,0,0,3,2.1,44,46.9,4.1,59020
"Middle school teachers, except special and career/technical education",Education training and library occupations,0,0,3,2.1,44,46.9,4.1,59800
"Career/technical education teachers, middle school",Education training and library occupations,0,0,3,2.1,44,46.9,4.1,60350
"Secondary school teachers, except special and career/technical education",Education training and library occupations,0,0,3,1.5,41.8,49.1,4.6,61420
"Career/technical education teachers, secondary school",Education training and library occupations,0,0,3,1.5,41.8,49.1,4.6,59480
"Special education teachers, preschool",Education training and library occupations,0.5,3.4,7.1,4.2,35.1,46.6,3,56990
"Special education teachers, kindergarten and elementary school",Education training and library occupations,0.5,3.4,7.1,4.2,35.1,46.6,3,60090
"Special education teachers, middle school",Education training and library occupations,0.5,3.4,7.1,4.2,35.1,46.6,3,61910
"Special education teachers, secondary school",Education training and library occupations,0.5,3.4,7.1,4.2,35.1,46.6,3,64020
"Special education teachers, all other",Education training and library occupations,0.5,3.4,7.1,4.2,35.1,46.6,3,59450
Adult basic and secondary education and literacy teachers and instructors,Education training and library occupations,1.8,10.2,18.4,8.5,35.9,20.5,4.7,55140
Self-enrichment education teachers,Education training and library occupations,1.8,10.2,18.4,8.5,35.9,20.5,4.7,43150
"Teachers and instructors, all other",Education training and library occupations,1.8,10.2,18.4,8.5,35.9,20.5,4.7,47570
Archivists,Education training and library occupations,0.6,5.5,8.5,3.7,30.8,42.7,8.3,54570
Curators,Education training and library occupations,0.6,5.5,8.5,3.7,30.8,42.7,8.3,58910
Museum technicians and conservators,Education training and library occupations,0.6,5.5,8.5,3.7,30.8,42.7,8.3,44780
Librarians,Education training and library occupations,0.2,1.9,8.4,4.5,23.3,56.8,4.9,59870
Library technicians,Education training and library occupations,3.1,31.6,17.8,9.8,24.3,12.2,1.2,34780
Audio-visual and multimedia collections specialists,Education training and library occupations,0.4,5,7.2,4.7,30.3,42.9,9.5,50130
Farm and home management advisors,Education training and library occupations,0.4,5,7.2,4.7,30.3,42.9,9.5,52150
Instructional coordinators,Education training and library occupations,0.4,5,7.2,4.7,30.3,42.9,9.5,65500
Teacher assistants,Education training and library occupations,4.3,29.3,26.2,14.5,21.1,4.2,0.6,27120
"Education, training, and library workers, all other",Education training and library occupations,0.4,5,7.2,4.7,30.3,42.9,9.5,46970
Art directors,Arts design entertainment sports and media occupations,2.5,11.3,18.7,8.4,46.4,11.3,1.4,101170
Craft artists,Arts design entertainment sports and media occupations,2.5,11.3,18.7,8.4,46.4,11.3,1.4,38900
"Fine artists, including painters, sculptors, and illustrators",Arts design entertainment sports and media occupations,2.5,11.3,18.7,8.4,46.4,11.3,1.4,57410
Multimedia artists and animators,Arts design entertainment sports and media occupations,2.5,11.3,18.7,8.4,46.4,11.3,1.4,72200
"Artists and related workers, all other",Arts design entertainment sports and media occupations,2.5,11.3,18.7,8.4,46.4,11.3,1.4,64630
Commercial and industrial designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,70880
Fashion designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,76480
Floral designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,27610
Graphic designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,52290
Interior designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,56220
Merchandise displayers and window trimmers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,30090
Set and exhibit designers,Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,57600
"Designers, all other",Arts design entertainment sports and media occupations,2.3,9.5,16.7,12.5,48.2,9.3,1.5,63270
Actors,Arts design entertainment sports and media occupations,2,7.6,20.6,8.9,47.7,11.6,1.6,*
Producers and directors,Arts design entertainment sports and media occupations,0.8,5.1,13.2,5.2,59.2,13.9,2.5,93840
Athletes and sports competitors,Arts design entertainment sports and media occupations,1.5,10.5,18.6,7,41.2,19.1,2.1,83730
Coaches and scouts,Arts design entertainment sports and media occupations,1.5,10.5,18.6,7,41.2,19.1,2.1,41000
"Umpires, referees, and other sports officials",Arts design entertainment sports and media occupations,1.5,10.5,18.6,7,41.2,19.1,2.1,35540
Dancers,Arts design entertainment sports and media occupations,8.7,25.4,23.4,7.7,28.1,5.5,1.2,*
Choreographers,Arts design entertainment sports and media occupations,8.7,25.4,23.4,7.7,28.1,5.5,1.2,53610
Music directors and composers,Arts design entertainment sports and media occupations,3.5,13.8,20.4,4.9,32.8,19.5,5.1,60630
